Código;Descrição;Marca;Família;Un. Negócio;Filial;Estoque Armazen 01;Estoque Armazen 101;Pedido Protheus;Pedido Mercanet;Saldo Total Disponível
001885                        ;F-1000 - MAQUINA DE FUMACA - 220V - PLS                                         ;PLS PRO;MAQUINAS DE FUMACA;UNOI                                    ;FILIAL SC;0;1;0;0;1
002260                        ;W3 - CONTROLE PARA MAQUINA DE FUMACA - PLS                                      ;PLS PRO;CONTROLADORES ILUMINACAO;UNOI                                    ;FILIAL SC;0;109;0;0;109
005634                        ;DL251 - MIDAS                                                                   ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;14;0;0;14
005634                        ;DL251 - MIDAS                                                                   ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;6;0;0;0;6
006381                        ;MADI - KLARK TEKNIK                                                             ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;4;0;0;4
007182                        ;P-SENDING CARD MSD300-1 NOVASTAR                                                ;PROLED                   ;OUTROS ILUMINACAO;UNOI                                    ;FILIAL SC;0;34;0;0;34
008210                        ;DL252 - MIDAS                                                                   ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;6;0;0;6
008542                        ;CM1 FORMAT AUDIONATE DANTE NETWORK WITH UP TO 64 BI-DIRECTIONAL CHANNELS.       ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;33;0;0;33
008545                        ;DN9610 - REPETIDOR AES50 - KLARK TEKNIK                                         ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;10;0;0;10
008572                        ;DN200 V2 - DIRECT BOX - KLARK TEKNIK                                            ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;6;0;0;6
008884                        ;F-650 - MAQUINA DE FUMACA  110V - 400W - PLS                                    ;PLS PRO;MAQUINAS DE FUMACA;UNOI                                    ;FILIAL SC;0;77;0;0;77
008887                        ;F-650 - MAQUINA DE FUMACA (220V) - 400W - PLS                                   ;PLS PRO;MAQUINAS DE FUMACA;UNOI                                    ;FILIAL SC;0;226;0;0;226
009114                        ;IP2000 - SISTEMA PA PORTATIL (110V) - TURBOSOUND                                ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;1;0;0;1
009167                        ;IX12 - CAIXA ACUSTICA 1000W (220V) - TURBOSOUND                                 ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;6;0;0;0;6
009168                        ;IX15 - CAIXA ACUSTICA 1000W (220V) - TURBOSOUND                                 ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;24;0;0;24
009169                        ;IQ12 - CAIXA ACUSTICA 2500W (110V) - TURBOSOUND                                 ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;1;0;0;1
009212                        ;TFX122M-AN (110V) - MONITOR P/ PALCOS E AMBIENTES 1100W - TURBOSOUND            ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;4;0;0;4
009212                        ;TFX122M-AN (110V) - MONITOR P/ PALCOS E AMBIENTES 1100W - TURBOSOUND            ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;11;0;0;0;11
009259                        ;MR12 - MIXER DIGITAL 12 CANAIS - BIVOLT - MIDAS                                 ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;16;0;0;16
009260                        ;MR18 - MIXER DIGITAL 18 CANAIS - BIVOLT - MIDAS                                 ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;40;0;2;38
009268                        ;BEAM LED 350 - MOVING HEAD - PLS                                                ;PLS PRO;MOVING HEADS;UNOI                                    ;FILIAL SC;0;1;0;0;1
009269                        ;POWER LED RGBWA 12W - REFLETOR 7 LEDS RGBWA 12W - PLS                           ;PLS PRO;LUMINARIAS;UNOI                                    ;FILIAL SC;0;196;0;0;196
009309                        ;IP3000 - SISTEMA PA PORTATIL 110V - TURBOSOUND                                  ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;4;0;0;4
009309                        ;IP3000 - SISTEMA PA PORTATIL 110V - TURBOSOUND                                  ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;2;0;0;0;2
009444                        ;DM8000 - PROCESSADOR DE SINAIS COM DSP - KLARK TEKNIK                           ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;MATRIZ RS;1;0;0;0;1
009533                        ;DL16 - STAGE BOX - MIDAS                                                        ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;14;0;0;14
009533                        ;DL16 - STAGE BOX - MIDAS                                                        ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;5;0;0;0;5
009534                        ;DL32 - STAGE BOX - MIDAS                                                        ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;14;0;1;0;13
009535                        ;"IQ10 - CAIXA ATIVA 2500W 2-WAY 10"" 220V - TURBOSOUND                            ";TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;MATRIZ RS;16;0;0;0;16
009535                        ;"IQ10 - CAIXA ATIVA 2500W 2-WAY 10"" 220V - TURBOSOUND                            ";TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;10;0;0;10
009536                        ;"IQ15B - CAIXA ATIVA 3000W SUBWOOFER 15"" 220V - TURBOSOUND                       ";TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;1;0;0;1
009536                        ;"IQ15B - CAIXA ATIVA 3000W SUBWOOFER 15"" 220V - TURBOSOUND                       ";TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;6;0;0;0;6
009575                        ;H-2000 PRO - MAQUINA DE FUMACA - 220V - PLS                                     ;PLS PRO                  ;MAQUINAS DE FUMACA;UNOI                                    ;FILIAL SC;0;15;0;0;15
009622                        ;M32 LIVE - MIXER DIGITAL 32 CANAIS - MIDAS                                      ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;42;0;1;0;41
009623                        ;M32R LIVE - MIXER DIGITAL - BI-VOLT - MIDAS                                     ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;7;0;0;7
009623                        ;M32R LIVE - MIXER DIGITAL - BI-VOLT - MIDAS                                     ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;10;0;0;0;10
009659                        ;STAGE PAR COB ZOOM 100 WW REFLETOR LED - PLS                                    ;PLS PRO                  ;LUMINARIAS;UNOI                                    ;MATRIZ RS;1;0;0;0;1
009662                        ;STAGE PAR COB 200 RGBW - REFLETOR LED - PLS                                     ;PLS PRO                  ;LUMINARIAS;UNOI                                    ;MATRIZ RS;1;0;0;0;1
009724                        ;MINI - MESA DMX LITECRAFT - PLS                                                 ;PLS PRO;CONTROLADORES ILUMINACAO;UNOI                                    ;FILIAL SC;0;2;0;0;2
009728                        ;1024 - MESA DMX LITECRAFT - PLS                                                 ;PLS PRO                  ;CONTROLADORES ILUMINACAO;UNOI                                    ;FILIAL SC;0;71;0;0;71
009746                        ;SUPER PROPAR LED 54 RGBW - 5W - BI-VOLT - PLS                                   ;PLS PRO;LUMINARIAS;UNOI                                    ;FILIAL SC;0;2;0;0;2
009789                        ;IP3000 - SISTEMA PA PORTATIL 220V - TURBOSOUND                                  ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;3;0;0;3
009807                        ;REFLETOR COB 100 OUTDOOR RGBWA (60W) 5IN1 - PLS PRO                             ;PLS PRO                  ;LUMINARIAS;UNOI                                    ;FILIAL SC;0;1;0;0;1
009867                        ;STAGE PAR COB ZOOM 100 CW REFLETOR LED - PLS                                    ;PLS PRO                  ;LUMINARIAS;UNOI                                    ;MATRIZ RS;1;0;0;0;1
009869                        ;"IQ10 - CAIXA ATIVA 2500W 2-WAY 10"" 110V - TURBOSOUND                            ";TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;9;0;0;9
009872                        ;"IQ15B - CAIXA ATIVA 3000W SUBWOOFER 15"" 110V - TURBOSOUND                       ";TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;2;0;0;2
009873                        ;IX12 - CAIXA ACUSTICA 1000W (110V) - TURBOSOUND                                 ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;7;0;0;7
009874                        ;IX15 - CAIXA ACUSTICA 1000W (110V) - TURBOSOUND                                 ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;17;0;0;17
